review,sentiment_label
Amazing productsREAD MORE,positive
Very GudREAD MORE,positive
I always bought a android flagship device but i was very dissapointed because they all lag or record low fps video in third party apps that's is why switched to IOS now i m happy with the performance and also it's not bulky because it's a 6.1 inch display phone which is very easy to carry Big thumbs up for that👍👍👍READ MORE,negative
I really liked it❤️❤️❤️READ MORE,positive
Excellent 👌👌👌READ MORE,positive
"Only Flipkart can give you the best deal. There was a slight delay in delivery though, but when you see your iPhone you forget all other things.READ MORE",positive
NiceREAD MORE,positive
Value for moneyREAD MORE,positive
The best phone ever for those who want phone which does all things rightREAD MORE,positive
Flipkart made this phone value for money superb features at big billion day priceREAD MORE,positive
"Everything is Very Good, Awesome Performance, i am Very Happy. NiceREAD MORE",positive
Awesome ColourLove it 😍READ MORE,positive
"First time in my life I'm trying iphone, I'm an android Samsung note user. There are no powerful android phones which are compact to use single handedly..that's the main reason I'm living the iPhone. I didn't go for the 12 Pro max as it is ginormous in size and the 12 mini was reviewed to have sub par battery life. 12 and 12 Pro are the ideal phones for the best of both worlds. I didnt need the telephoto and Lidar camera, so I went with 12 to save some thousands. I'm enjoying the single hande...READ MORE",positive
perfect phoneREAD MORE,positive
"Superb phone from apple. Buttery smooth and blazingly fast. Just missing telephoto camera at this price. This could be provided by Apple. Also charger is not coming along. At this price customer expects that. Nothing else to complain about. It is very good looking, compact and light weight. Master piece from Apple.READ MORE",positive
"I am new Apple Iphone user and I feel it’s “Not a value for money product”. Except for the brand nothing is good as compared to android phones. Android phones are much better at same price with better display, speakers, usability etc.I like it but not like as a Android phone.READ MORE",negative
Performance is soooo fastEspecially faceid detection is awesome even in darkNo need to carry an dslr .this is more than enough attaching puc taken by thisREAD MORE,positive
Superb quality and super batteryREAD MORE,positive
It’s a better choice from 13READ MORE,negative
Using apple after 3 years last I was using 6plus and after that S8 iOS is good if you are in this apple ecosystem otherwise I will ask everyone to stick to android Camera is really good on this oneSpeaker quality is amazing Performance top notch Battery life is fantastic it will last full day in heavy usesREAD MORE,positive
Best phone iPhone 12Image qualityREAD MORE,positive
"price range is not for everyone but if you can afford it don't hesitate a bit because this phones gives you most realistic camera, stunning filters, efficient battery life, multimedia files take low storage, applications run smoothly and last but best part is the security features for messaging and payments. I am not asking everyone to buy it but if you can afford an apple phone then you should always go for it without giving a second thoughtREAD MORE",positive
"Iphone 12 is awesome, beyond expectation 🤣READ MORE",positive
Great phone but always purchase when you have discounted deals to get more value for moneyREAD MORE,positive
This is my first phone gifted by my brother and it been approximately 6 months since i am using this iPhone 12 and it’s very nice phone if you afford it then But one this it battery backup is not that goodOtherwise it is a fabulous phone If your pocket allow u than go for itREAD MORE,positive
It's a super quality product 👌 awesome thanks FlipkartREAD MORE,positive
Best device for all rounderREAD MORE,positive
"I bought this iPhone after plenty of research and it’s The best value for money iPhone with all mandatory features like IP68 rating , OLED Display , 5G with all 12 bands , 5 nm Architecture A14 Bionic Chip , Dark Mode with Dolby Vision , Wi-Fi 6 & NFC , Stereo Speakers , MagSafe compatibility . So  turning out to be a complete iPhone experience , truly loving it.READ MORE",positive
Night mode is very very good too I’m happy 😃READ MORE,positive
Superb iphoneREAD MORE,positive
Just awesomeREAD MORE,positive
NiceREAD MORE,positive
GoodREAD MORE,positive
Excellent product from Apple.. Just battery could have been betterREAD MORE,positive
Great phone just amazing !!!READ MORE,positive
"Dont buy❌❌❌❌❌❌after few month used color of side corner is automatically down  and if you play pubg game it will be hang also battery capacity is down to 90% in few month so i recommended to all don't buy if your play pubg game and heavy use, this is worst phoneREAD MORE",negative
Battery backup slowREAD MORE,negative
GoodREAD MORE,positive
Just go for it 😍😍😍😍READ MORE,positive
I have purchased iphone 12 through Flipkart billion sale and its been only 10 Days my phone is not working its screen is totally black out and phone has switched off . I have never faced this kind of issue in any new phone that to only 10 days.READ MORE,negative
Its my 2nd iPhone 🤩❤️READ MORE,positive
Very goodREAD MORE,positive
"Being an Android user until now here is my view on this iPhone 12Performance is best in its price range.Camera is really good the tones are natural also Video Quality, OIS is better than its predecessor iPhone 11.Bought on BBD sale on 2 October.If you have a budget around 55 60k this device is worth every penny.READ MORE",positive
Only showing phoneREAD MORE,negative
Best phoneREAD MORE,positive
Awesome phone everREAD MORE,positive
perfect phoneREAD MORE,positive
Love itREAD MORE,positive
Excellent phone... And flipkart delivered it perfectly the packaging was very nice and was properly sealed and product was 100% genuine...READ MORE,positive
Great product in the price available just got latest ios 15.2 update tooREAD MORE,positive
"Thanks Flipkart for delivery genuine product, Awesome product 😍😍😍😍😍READ MORE",positive
"They should provide charger , else it's a superb mobile phoneREAD MORE",negative
The product is good. When I compared this with the mobile in apple showroom I felt the display of the mobile bought in flipkart is reddish.READ MORE,negative
100 n 100% genuine productREAD MORE,positive
not worth the priceREAD MORE,negative
Switching from OnePlus to Iphone 12...is such a nic experience loved ds phone 😍READ MORE,positive
Amazing experience.. Totally satisfied with camera /battery/ smooth interface/face lock... Wow.. What an amazing iPhoneREAD MORE,positive
Awesome product…Camera: it’s superb.Battery : quite good and runs for whole day if moderately use.Display and design : perfect. iPhone 12 is looking so premium and best till date.Performance: perfect and very smooth and premium.Colour: i prefer Green because it looks more light green and different than others and ofcourse it gives premium look… 2nd option can be white.Flipkart order : firstly I hesitated to buy from flipkart as it is of bug amount but I ordered and got my phone one day ...READ MORE,positive
"What a amazing phone ! I bought this amazing beast for my soul mate & she’s very happy and blissful. Wonderful camera , beautiful design must buy worth every pennyREAD MORE",positive
Awesome.READ MORE,positive
"Top notch performance, get it if you have budget and want a reliable Smartphone for long term. Still apple need some improvement in display like high refresh rate, smaller notch or full screen display may be.READ MORE",positive
Best ever iPhone experience with iPhone 12. Go for it.READ MORE,positive
Awesome hai yaar.. green color is just out of the expectations.. Loved it❤️READ MORE,positive
Switch to iosREAD MORE,negative
